gene,undifferentiated,differentiated
Cnrip1,635,328
Slc35b2,549,414
Gprasp1,530,432
Utp15,593,369
Golga2,544,418
Ints2,567,395
H1f2,554,408
Golga7,523,439
Psme1,512,449
Crtap,516,445
Rhot1,556,403
Hccs,585,374
Trnau1ap,512,446
Amd2,559,398
Atp1a3,555,402
Topbp1,629,328
Peds1,518,439
Kat7,534,422
Erf,548,408
Vangl2,546,410
Tmem14c,484,472
Pygl,432,524
Mfhas1,502,454
Clpb,516,439
Itgav,582,373
Txlna,591,364
Med7,558,396
Cd2ap,560,394
Arl6ip4,546,407
Cds2,530,423
Kif3c,511,442
Gfpt1,566,387
Txndc5,509,444
Egfl7,392,561
Pip4k2b,606,346
Sec11c,536,416
Prpf4b,576,376
Tmem205,406,546
Tmem209,566,386
Supv3l1,556,395
Rcn2,523,428
Id3,894,57
Pycr2,540,412
Nab1,510,440
Fads3,396,554
Phrf1,597,353
Tcof1,578,372
Zswim8,560,389
Hypk,520,430
Nol11,536,413
Adissp,493,456
Pitrm1,518,431
Tmem65,472,476
Senp5,532,416
Agpat1,521,427
Gng10,589,359
Hexa,494,454
Rab3a,460,488
Bltp2,525,422
Gpr107,522,425
Ubr1,555,392
Mkrn1,488,460
Mfsd14a,509,438
Ergic3,482,465
Mrpl10,529,418
Ctxn1,537,409
Btbd10,544,402
Ndfip2,542,403
Ssh2,619,326
Repin1,504,441
Syngr1,476,469
Ube2q2,542,402
Gcsh,493,450
Polr3f,567,376
Ltbp4,554,389
Ttc1,533,410
Mydgf,473,470
Atg4b,510,433
Add1,540,403
Ddx47,512,430
Smarcad1,566,376
Ctsa,524,418
Mfsd6,571,371
Gria2,620,322
Rnf41,508,434
Gns,546,395
Coprs,469,472
Ssh1,594,347
Esyt1,518,422
Rbm18,542,398
Polr1f,559,381
Cth,398,542
Antkmt,491,448
Camk1d,585,354
Upf3a,502,437
Itgb5,500,439
Sh3glb1,516,423
Pcgf3,574,365
Alkbh1,578,360
Pycr1,416,522
Mcm5,572,366
Fbxw2,514,424
Nf2,563,375
Cibar1,492,445
Ankrd40,487,450
Polr3h,560,378
Spop,608,328
Zc3hav1,523,412
Map3k12,479,456
Utp14a,543,391
Ankrd28,531,403
Cpt1a,485,449
Rnf216,559,375
Gna12,498,435
Reep3,545,388
Tcf20,558,375
Mvb12b,464,468
Ctnnd1,568,364
Jph3,500,432
Rnf20,621,311
Brwd1,530,402
Rrn3,508,424
Chd6,591,340
Trpm7,584,348
Nubp1,523,408
Ascc2,484,447
Gle1,584,347
Brox,501,430
Zfp277,559,372
Foxp1,545,384
Mt1,503,426
Orc4,528,401
Thoc1,586,343
Nmnat2,576,353
Abr,578,350
Tsc2,474,454
Rrp7a,504,424
Gm50387,497,431
Mtus2,507,421
Seh1l,562,366
Nbr1,526,402
Lmnb2,612,316
Hmbox1,579,348
Prom1,473,454
Galnt1,497,428
Actl6a,579,346
Adh5,476,449
Pbk,533,392
Mxi1,526,400
Pacsin2,520,404
Sprtn,512,412
Nelfe,482,442
Mllt11,486,438
Exosc3,468,456
Mbtps2,563,360
Csrp1,578,345
Cebpz,582,342
Tssc4,517,406
Asb8,540,383
Nsmce2,501,422
Pih1d1,503,419
Rims3,586,336
Mageh1,490,432
Plcxd3,627,295
Phc1,544,377
Hspa4l,552,370
Klhl2,574,347
Prpsap1,484,437
Plin2,426,494
Golga3,512,408
Nmt2,527,393
Rnf146,558,362
Ints1,480,440
Rexo1,481,439
Acsl1,546,373
Cacfd1,552,367
Dolpp1,510,409
Dnaaf10,470,448
Sec23b,487,431
Ciao1,460,458
Fgfr1op2,542,376
Manbal,500,417
Map9,612,305
Ube2g2,466,450
Mtor,498,418
Ice1,493,423
Pdcd2,468,448
Nlrp4c,512,403
Zfp91,532,384
Mrpl45,510,405
Mia2,527,388
Ppp2r2b,495,420
Zfp36l2,548,367
Celf3,578,336
Sptssa,546,368
Rtf2,493,420
Gtf2f1,502,410
Thra,512,399
Snap91,517,394
Fbxl6,523,388
Dpp9,465,446
Tipin,556,354
Rbm15,521,389
Pgam5,497,413
Rcl1,513,397
Cmss1,436,473
Rnf111,512,397
Cherp,526,382
Mzt1,545,363
Myg1,504,404
Mrpl36,465,443
Trappc2b,484,424
Dtl,652,256
Ints11,487,420
Bms1,556,351
Ap1ar,541,366
Nek2,558,349
Abhd2,472,435
Cyb561,415,491
Necap1,487,419
Adora2a,568,338
Kansl2,501,405
Shtn1,608,298
Dennd2a,518,388
Mfap1a,531,375
Stam,506,399
Rfx7,546,358
Ncbp1,513,392
Tbp,535,370
Tbl3,457,448
Trappc6b,541,363
Kpna3,519,385
2310022B05Rik,492,412
Ccnl1,576,328
Hsf1,520,384
Cspp1,631,273
Nln,519,384
Rspry1,519,384
Grhpr,452,451
Stx7,485,418
Cul2,525,378
Rtl8b,450,454
Chd1,536,366
Gcc2,587,315
Cog1,456,446
Dedd,496,406
Camk2n2,388,514
Ccdc127,503,398
Tmem183a,512,389
Phax,491,410
Cdkn2d,494,407
Ppp1r2,518,383
Desi2,488,413
Hspa14,464,435
Bves,482,417
Gm2a,452,448
Leo1,527,371
Klhdc4,499,399
Ncoa3,467,431
Dynlt2b,533,365
Mrps7,468,430
Tob2,578,320
Lcmt1,400,496
Zfp422,537,360
Papss1,487,409
Nfe2l2,460,436
Tanc1,466,430
Poldip2,469,426
Astn1,519,376
Shoc2,539,355
Tmcc3,479,415
Cbfa2t3,495,399
Rpl9-ps6,456,438
Entpd3,552,342
Slc39a7,511,382
Zfp871,573,320
Atl2,524,369
Hmga1b,511,381
Thoc2l,566,326
Nenf,506,386
Limk2,508,383
Pim3,543,348
Zfp516,566,325
Apbb1,506,384
Phf6,491,399
Tfe3,439,451
Dnttip1,469,421
Slc7a6,505,385
Ankrd54,499,390
Pcf11,596,293
Mfap1b,502,387
Ppip5k2,505,383
Rad17,463,425
Ttc14,566,321
Tnk2,573,314
Taf4,557,330
Dhrs7,447,440
1700017B05Rik,440,447
Usp4,496,391
Xrcc1,426,461
Uchl5,515,371
Ddhd1,500,386
Rdh11,451,435
Gosr2,510,376
Rbis,500,385
Pnpla8,470,414
Ccnt2,590,295
Uxt,454,430
Ppp2r5b,417,467
Scap,472,412
Bloc1s2,446,438
Pam,559,324
Sephs1,516,367
Mycn,603,280
Pdcd11,529,354
Ephx1,437,446
Wdr70,474,408
Eaf1,474,408
Fsd1l,522,360
Ppp6r1,476,405
Ddx27,522,359
Sdf2,505,376
Jak1,459,422
Patl1,511,370
B4galt3,405,476
Nit1,408,472
Cirbp,514,366
Spin1,516,364
Ctu2,479,400
Rpa2,553,326
Pik3r1,510,368
Ttc13,506,373
Ap3s1,542,336
Cops7b,498,380
Ascc1,513,364
Arl6,503,374
Cep104,465,411
Dapk3,445,431
Gm42420,488,387
Azi2,524,351
Psmg2,477,398
Uhmk1,528,346
Pcbd1,450,425
Ngdn,428,448
Hpcal1,440,434
Sh3rf1,507,367
Abracl,524,348
Cisd2,494,379
Tpgs1,413,460
Chd8,506,367
Mea1,434,438
Ncbp2,480,392
Ipo9,517,355
Cluh,470,402
Ube2e1,457,415
Ctr9,562,310
Ric8a,480,391
Lpcat4,475,396
Dcaf8l,510,360
Sec22b,463,407
Med27,424,446
Rmnd5a,457,412
Acap3,477,392
Lancl1,452,417
Cox7b2,497,372
Senp7,494,375
Anxa5,458,410
Zcchc2,478,391
Traf7,467,401
Tet3,507,361
Akap8,597,271
Faf2,505,362
Mrps21,448,419
Dcaf12,515,352
Siah1a,533,333
Mocs2,440,426
Stbd1,393,473
Fbxl5,518,348
Pik3ca,536,330
Taok2,494,371
Cnot3,506,359
Slc35b1,427,438
Nxt1,466,399
Pym1,499,366
Rnf167,498,366
Nr2f2,532,332
Gatd3a,433,431
Cog5,521,342
Tmem222,462,401
Tfam,522,341
Chp1,438,424
Rxylt1,476,386
Nelfcd,519,343
Synm,601,261
Clcn4,473,389
Mrpl37,449,413
Fnip1,496,366
Kcnk3,414,448
B3gat3,436,426
Yipf3,436,426
Sh3pxd2a,476,385
Mier3,486,375
Ncln,479,382
Ndufaf4,436,425
Mrpl50,518,343
Erp44,482,379
Flrt1,602,257
Syt11,523,335
Utp25,495,363
Cabp1,425,433
Dip2c,475,383
Rapgef6,593,264
Exosc1,482,376
Tln1,470,386
Gpsm1,487,369
Arhgap19,507,349
Cpne3,525,331
Ptcd2,491,365
Vps72,493,363
Vps54,542,314
Rfc3,522,333
Hacd1,463,392
Fcho2,512,343
Mgat2,483,372
Thop1,457,398
Sncg,453,402
Tor1a,473,382
Zcchc9,458,396
Scaf4,514,340
Eed,464,390
Rsbn1l,536,318
Usf2,510,345
Idi1,412,442
Thap11,456,398
Lasp1,440,414
Bbln,353,501
Asic1,400,454
Zbed6,538,316
Scoc,506,348
Rab5b,524,330
Asah1,462,391
Ufsp2,448,405
Crkl,492,361
Slf2,519,334
Gramd1a,519,334
Vegfb,448,405
Tle4,418,434
Tbcd,455,397
Fndc3b,472,380
Kctd13,470,382
Ascc3,509,342
Pdxdc1,458,393
Glce,398,452
Fbxo25,466,384
Plk3,398,452
Derpc,506,342
Ift27,433,416
Chtf8,506,342
Mien1,408,441
Tdp2,554,294
Agap3,492,356
Sin3a,544,304
Pak4,465,383
Mpped2,482,366
Emc1,453,394
Prkacb,508,339
Ralb,421,426
Ndufaf3,412,434
Cask,451,395
Clasp2,508,338
Parg,536,310
Pepd,558,288
Man1c1,493,352
Chd9,549,296
Rabep1,538,307
Acadl,409,436
Socs7,480,364
Tmem87a,500,344
Arhgef1,541,303
Tyms,492,352
Wbp1,395,448
Zc3h11a,521,322
Ints15,429,414
Prps1,513,330
Ampd2,440,403
Cdk5r2,413,429
Ppp6r3,492,350
Camkk2,452,390
Spry4,502,340
Katnb1,435,407
Magohb,458,384
Tomm40,448,394
Sucla2,451,390
Bsdc1,515,326
Tmem263,462,379
Coro1b,447,394
Samd8,441,400
Chmp7,480,360
Slc7a3,394,446
Cenpe,574,266
Rab6b,477,363
Zc3h7a,567,272
Chuk,502,336
Tmem242,429,410
Scn8a,476,362
Gcat,391,447
Snx17,423,415
Fam163a,565,273
Usf1,485,352
Hspbp1,416,421
Gbf1,451,385
Vps16,455,381
Rbm38,460,376
Nudt4,490,346
Cox16,473,361
Fxr2,426,408
Nkiras2,383,451
Oxa1l,489,345
Arhgap11a,573,260
Acss2,356,477
Fam193a,490,342
Arfgap1,471,361
Phf12,481,351
Ncoa2,508,323
Exoc4,456,375
Scamp3,468,362
Nop16,461,369
Dnaaf5,393,437
Pex3,484,346
Bcl7b,441,388
Ppil2,467,361
Gemin5,465,363
Adpgk,496,331
Abcf2,438,389
Tmem150c,500,326
Hdac3,492,334
Ppp1r9b,435,391
Mex3d,481,345
Pigm,500,325
Creb1,500,325
Bivm,468,357
Meis2,532,293
AU040320,426,399
Khdc4,507,318
Os9,470,355
Cdk5rap3,444,380
Man1b1,448,376
Stat2,466,358
Cdk13,512,312
Wdr77,486,338
Bysl,423,401
Lrwd1,454,370
Cenpb,468,355
Ranbp9,473,350
Eya3,449,374
Rsrc1,448,376
Nbdy,433,390
Cbll1,478,345
Cdk12,525,297
Nubp2,415,407
Mllt6,526,295
Men1,428,393
Trim41,458,362
Tdrkh,446,374
Angel2,430,389
Taf11,482,337
Pcmtd2,542,277
Ccdc90b,468,351
Pogz,495,323
Patz1,490,328
Mrps34,430,388
Gtf2h4,399,419
Hells,541,277
Snx9,434,382
Zcchc10,475,342
4833420G17Rik,544,273
Pan3,506,310
Stk40,403,413
Mvd,307,509
2310061I04Rik,390,426
Ppp1r14c,494,322
Yeats4,498,318
Srpra,435,380
Atf7ip,505,310
Pcgf1,515,300
Tspan18,488,326
Letmd1,418,396
Arrb2,444,370
Kif11,510,304
Trim37,430,383
Armc8,452,360
Pogk,453,359
Klhl24,529,283
Tk1,506,306
Tmem165,455,357
Sacm1l,464,348
Pphln1,490,321
Tulp4,483,328
Vamp4,419,392
Tmem131l,477,334
Cabin1,512,299
Rhox2c,380,430
Gm49776,529,282
Gabpa,469,342
Dpp3,446,364
Sgsm2,448,362
Vps26a,461,348
Dcaf1,500,309
Vegfd,516,293
Rhoc,362,447
Ythdf3,466,343
Rab3ip,463,346
Rfwd3,458,351
Limch1,456,352
Fkbp5,452,356
Mtres1,437,371
Pdk1,488,320
Snrnp25,418,390
Tbk1,491,316
Ccdc12,430,378
Pir,462,345
Syp,431,376
Dgkh,504,302
Trib1,344,462
Ptcd3,450,356
Sbno2,502,304
Acp1,474,331
Smim20,381,424
Cpsf7,512,293
Nusap1,494,310
Katnal1,470,334
Ppa2,415,389
Gtf3c4,502,302
Zfp423,486,316
Piezo1,459,344
Ints4,446,357
Spire1,456,347
Alkbh3,424,379
Map3k7,476,326
Zfpl1,395,407
Rpl7l1,458,344
Baz2b,508,294
Scfd1,450,351
Nfs1,440,362
Rnaset2b,326,475
Dmwd,414,386
Prkab1,483,317
Sympk,455,345
Arih2,461,338
Esrra,390,410
Map1s,446,354
Sec61a2,460,338
Cers4,516,282
Poc5,474,324
Tmem70,421,376
Dgcr6,397,400
Usp39,423,374
Mtcl1,475,322
Hdhd2,442,355
Suco,443,354
Plcg1,464,333
Aifm1,462,335
Bag4,484,313
Bex4,448,349
Srp54a,446,350
Snx4,435,361
Nacc1,415,380
Elovl4,463,331
Ncoa6,456,338
S100pbp,491,303
Snx2,456,338
Tma16,467,326
Tbc1d10b,439,354
G2e3,505,288
Septin3,501,292
Ccdc117,445,348
Polr2h,452,341
Slc25a17,489,303
Wdr12,459,332
Eea1,520,271
Prpf40b,500,291
Mrpl1,427,364
Fryl,460,330
Kcnh2,475,315
Lsg1,430,360
Usp29,526,264
Snx12,460,330
Bfar,400,390
Phf23,448,341
Sypl1,453,336
Npnt,316,473
Creld1,393,396
Gtpbp1,433,356
Mad2l2,391,397
Tsc22d2,435,353
Nyap2,518,270
Tada1,428,360
Tubb6,441,347
Tbc1d23,469,318
Rbm27,474,312
Washc5,434,353
Kifc3,407,379
Stx1a,495,291
Oxsr1,476,310
Ccny,447,339
Tm7sf2,386,398
Syt6,347,438
Zfp644,493,292
Kif20a,452,332
Dzip3,482,302
Tbl2,492,292
Atp10d,564,220
Kif21a,488,295
Coasy,400,383
Cerk,464,319
Vps37a,411,372
Sema4c,425,358
Tspyl2,419,363
Lysmd3,457,325
Cpeb1,468,314
Nuf2,513,268
Smim7,412,369
Daxx,421,359
Acsl3,504,276
Tmem109,433,347
Slc38a7,429,351
Pwp1,463,317
Usp1,475,305
Atn1,406,373
Ptch1,460,320
Mpp2,409,370
Sesn2,335,444
Zfp655,454,324
Gstm1,334,445
Sgpl1,415,363
Higd2a,403,375
Pik3ip1,446,331
Eps15,438,339
Cbx3,469,308
Mad2l1,470,307
Septin5,417,359
Smpd3,340,436
Atg5,466,310
Fbxw7,465,310
Wtip,432,344
Thap4,384,391
Elp5,360,415
Wdfy3,420,355
Myt1,457,318
Etv4,432,343
1190005I06Rik,407,368
Sgpp1,452,322
Prp2rt,419,355
Ccdc6,416,357
Vps4a,436,337
Pde6d,458,315
Prr12,439,334
Mbtd1,481,292
Naa35,479,294
Mef2a,438,335
Mapk8ip3,416,356
Nrp2,368,404
Ddx10,476,295
Gm10053,399,373
Plpbp,436,335
Trim25,450,322
Znrf2,440,331
Myadm,355,416
Tnks1bp1,458,312
Dnajc1,458,312
Suds3,442,328
Slx9,411,359
Tmeff1,500,269
Eml5,533,236
Stxbp5,434,335
Retreg2,410,359
Mtfr1l,409,360
Rbm10,398,371
Map3k3,442,327
Mrpl35,383,385
Nup214,488,280
Dido1,494,274
Setd3,492,275
Klhdc3,399,368
5031439G07Rik,427,340
Slc35c2,351,416
Magt1,440,328
S2bpcox16,420,346
Ensa,418,349
Ralgapa1,438,328
Rims4,340,426
Fbxl14,428,338
Dynlt3,399,367
Mphosph8,453,313
Paxbp1,496,270
Tmem199,407,359
Esyt2,411,354
Cnppd1,406,360
Prpf38a,426,339
Lmf1,399,366
Tmem11,439,326
Anxa4,393,371
Csrnp3,418,346
Cdc73,472,292
Sbf1,401,363
Mrpl44,420,344
Osbpl8,401,363
Jph4,425,339
Tlcd3b,409,355
Phf20,418,346
Marchf9,370,394
Pisd,441,322
Trappc14,438,325
Smarcd2,416,347
Sart1,433,330
Abl1,446,317
Ecd,420,343
Uri1,452,310
Crocc,463,299
Lman2l,388,374
Casc3,435,326
Card19,440,321
Selenos,405,356
Tmem94,384,376
Ctnnbip1,409,351
Nr2f6,404,356
Trak1,428,332
1110065P20Rik,379,381
Fam133b,470,290
Hmgxb3,396,363
Slc25a46,422,337
Asf1b,481,278
Gtf2h1,431,328
Ten1,383,376
Gnpat,410,348
Med13,412,346
B230219D22Rik,422,336
Frmpd1,386,372
Mgat1,458,300
Ninj1,374,384
Ulk1,450,308
Mterf3,380,377
Hmga1,428,328
Ermp1,430,326
Ikzf5,459,298
Terf2,420,336
Map2k7,462,294
Gm49721,309,447
Wdtc1,370,386
Rbm42,386,370
Ankfy1,418,337
N4bp1,418,337
Arhgef25,470,285
Dhps,414,341
Bcr,425,330
Gipc1,452,303
Il11ra1,437,318
Ift25,372,382
Exoc3,424,330
Pgrmc2,439,315
Bet1,400,354
Pxdn,468,286
Tmem237,458,295
Dscam,392,361
Cep83,466,287
Dkk1,677,76
Kremen1,446,307
Appl1,453,300
Dnajc9,463,290
Cbarp,393,360
Fam3c,378,374
Xpo7,469,283
Stk16,403,349
Fam171b,419,333
Slc7a14,410,342
Adsl,402,350
Glo1,410,341
Fam219a,467,284
Cnot10,434,317
Trim68,565,186
Mlec,388,363
Igsf3,424,327
Tug1,476,274
Swt1,430,320
Kifbp,402,348
Spns1,375,375
Tlnrd1,446,304
Gps1,396,354
Neurl1a,437,312
Mapk8ip2,400,349
Zfc3h1,460,289
Ier5l,420,329
Usp21,422,327
Ppp1r16b,338,410
Rsu1,409,339
Coq10a,382,365
Evl,425,322
Chd2,474,272
Ano6,467,279
Anxa7,418,327
Capza1,412,332
Bub1,471,273
Cep20,468,276
Prkra,366,377
Mbd2,423,320
Itch,415,328
Map7d1,420,323
Gm49356,404,338
Homer1,380,363
Nek9,375,367
Taf2,433,309
Fbxo30,446,296
Usp3,424,318
Pdcd7,455,286
Zfp362,433,308
Resp18,380,361
Uba6,415,326
Sra1,379,362
Pdgfa,372,369
Rbmx2,452,288
Rnf138,428,312
Fbxo5,489,250
Tmem181a,418,322
Mapk3,382,357
Tmem107,423,316
Abca2,357,382
Srp54b,418,321
Mier2,403,335
Ppil4,447,291
Tmem184b,420,318
Slc29a4,411,326
Ptbp2,465,272
Ints13,413,324
Edem2,397,340
Rsph3a,374,363
Fuca1,350,386
Sh2b1,406,330
Fzr1,408,328
Tfip11,373,363
Eif2b3,443,293
Zyg11b,375,361
Cactin,404,332
Btg2,378,358
Zmat3,438,298
Zfp280c,469,266
Acap2,440,295
Fnbp4,480,255
Trmt10c,445,290
Map3k4,454,282
Mlx,389,346
Mxra7,417,317
Rhbdd3,413,321
Zdhhc3,408,326
Zdhhc17,427,306
Micu3,453,280
Srp54c,421,311
Gramd4,428,304
Ncoa5,425,307
Myo5a,458,274
Elf2,454,278
Nlk,370,362
Ddrgk1,399,332
Dhx8,383,348
Dpcd,330,401
Fbxo28,430,301
Malsu1,426,304
Cnot9,404,326
Hid1,342,388
Sel1l3,360,370
Hace1,446,284
Tlx2,582,148
Arhgef28,426,303
Ckap2l,478,252
Rprd1b,442,287
Pip4p2,412,317
Cmas,395,334
Aftph,424,304
Rgmb,424,304
Katna1,436,292
Gm49336,434,294
Myt1l,466,262
Bap1,359,368
Fbrs,406,321
Selenom,345,382
Erlin2,441,286
Ahcyl2,446,281
Sos1,394,333
Ndufaf8,378,349
Gucy1b1,453,274
Phf13,384,342
Dnajc10,459,267
Tmem106b,373,353
Zdhhc5,377,349
Akap8l,397,329
Dpysl5,438,287
Shmt1,440,285
Rtca,355,370
Rab34,421,304
Ankrd50,383,342
Slc30a4,420,305
Chn2,413,311
Abhd16a,313,411
Arhgap1,335,389
Abcb10,391,333
Ncaph,487,236
Iars2,408,314
Pygb,335,387
Adcyap1r1,410,312
Setd1a,392,330
Mapk8,444,278
Mfsd1,437,284
Arfip2,373,348
Tasor2,420,301
Cmip,404,316
Emc3,390,330
Glul,421,299
Ap3m1,376,344
Cbx2,409,311
Cdkn2aipnl,437,282
Gopc,419,300
Pou3f3,494,225
Myo9a,414,304
Zdhhc6,418,300
Tacc2,407,311
Kidins220,429,289
Erlec1,447,271
Usp37,427,291
Usp16,432,285
Mmp15,361,356
Cpd,402,315
Rrp1b,425,292
Zeb1,474,243
Vps25,358,358
St6galnac6,408,308
Rchy1,405,311
Baiap2,412,304
Slc19a1,425,291
Cbfa2t2,407,309
Pex2,413,303
Zmym2,420,294
Champ1,437,278
Scaf1,406,308
Akap11,457,258
H2ac6,420,294
Dph3,390,324
Gfm1,393,321
Ttc28,394,320
Fundc2,411,303
Plcb3,522,192
Bltp3b,389,325
Dnajc14,396,318
Zfp467,383,330
Parp8,411,302
Ccnd2,311,402
Ddx41,342,371
Oaz2,360,353
Cmtm4,404,309
Pla2g6,392,321
Sema6a,368,344
Bloc1s1,384,328
Prr14,357,355
Nop2,427,284
Fbxo31,364,347
Uqcc4,400,311
Naxd,404,306
Dmac1,326,384
Alg9,390,320
Stra6,487,223
Polr2d,422,288
Tmem138,393,316
N4bp2,445,264
Elovl7,416,293
Hycc1,354,355
Naf1,411,298
Mtmr6,389,320
Dusp1,445,264
Rap1a,404,304
Mtmr9,389,319
Trmt2a,346,362
Ubxn7,384,324
Plod1,345,362
Gins2,409,298
Gfer,364,343
Gid4,410,298
Ube4a,403,304
Slain2,400,306
Ctps1,407,300
Ralgapb,366,340
Safb2,454,253
Mrps31,411,295
Marf1,420,286
Pla2g12a,302,404
Tgs1,428,277
Zyx,333,372
Uckl1,352,353
Pgbd5,327,378
Ctbp2,422,282
Fkbp9,379,326
Kmt2b,423,282
Stard3nl,384,320
Kif3b,389,316
Bhlhb9,390,314
Sgip1,460,244
Nup153,429,275
Tspan4,413,291
Med24,380,323
Kctd20,422,280
Rcn1,404,298
Pde10a,465,237
Ubqln4,370,332
Fzd7,416,286
Kdm3a,439,262
Bag2,408,293
AI597479,390,311
Lnpk,392,309
Slc16a6,346,354
Mmgt1,379,322
Smim26,383,317
Samd10,334,366
1810030O07Rik,368,332
Heatr6,440,260
Abhd11,375,325
Mblac2,385,315
Rnpep,380,320
Dnajc19,336,364
Lrpap1,359,340
Tpst1,380,319
Ncs1,452,247
Ube2t,480,219
B4galt5,441,258
Cpsf4,410,289
Nipsnap3b,405,294
Abhd13,388,310
Dtd1,356,342
Zfp62,425,273
Man2a2,381,317
Pkp4,417,281
Ublcp1,363,335
Nfya,361,336
Kpna1,398,299
Dguok,378,318
Ado,386,310
Arid4a,426,270
Rdh5,370,326
Tvp23b,412,284
Tmem161a,378,318
Hmgn3,441,255
Cdk2,426,269
Lamtor4,338,357
Gcn1,390,304
Gpcpd1,484,210
Mtap,418,277
Rpa1,401,293
Hcn2,393,301
Akt3,440,254
Zeb2,467,227
Espl1,407,287
Usp38,392,301
Faim,389,304
Slc30a1,304,389
Cyfip1,406,287
Ube2v2,413,280
Akirin1,351,342
Gp1bb,366,327
Creld2,378,314
Pabpc4,421,270
Tmem151b,358,333
Ubr7,424,267
Banp,375,316
Pole4,408,283
Senp1,443,248
Ppp2r2d,408,282
Bloc1s6,371,319
Sec24b,360,330
Decr1,351,339
Elk3,447,243
Rhox2f,333,357
Rtl8a,357,332
Nme7,360,330
Mapkapk5,372,318
Socs6,404,286
Cep164,392,297
Mtx1,341,348
Krcc1,391,298
Pfn2,358,330
Ciao2a,442,248
Vps13b,394,295
Vrk1,428,260
Gtf2f2,392,296
Gm42878,370,318
Ttbk2,407,280
Jag2,395,292
Jagn1,348,339
Crnkl1,385,301
Hddc2,349,337
Blzf1,353,332
Trim67,426,260
Ciz1,364,321
Terf2ip,376,309
Mrpl27,346,338
Ppard,320,364
Aspscr1,357,327
Triobp,365,319
Med23,376,308
Sephs2,382,302
Zdhhc20,404,279
Get4,367,315
Tmem135,355,327
Aldh7a1,352,330
3830403N18Rik,378,304
Ndufaf2,388,294
Stk3,422,260
Alg3,355,327
Ints5,364,318
Pgf,407,274
Kiz,392,290
Sigmar1,350,331
Kctd17,365,316
Zdhhc8,393,288
Nptxr,388,292
Ncdn,364,316
Mesd,400,280
Rragd,346,334
Pmm1,308,372
Nol4l,436,244
Cby1,328,351
Dnlz,353,326
Atp8a1,414,264
Ddx23,442,236
Rnf220,350,328
Vat1l,411,267
Ilvbl,388,290
Stau2,342,336
Pik3r3,326,352
Nfx1,402,276
Htra2,349,328
Zmym4,390,287
Gnaz,363,314
Hmbs,356,320
Prmt3,386,291
Xlr3a,316,360
Grb14,367,309
Wnt11,433,243
Ect2,432,244
Gosr1,371,305
Pkn1,372,303
St6galnac4,350,325
Vps50,414,261
Spc25,442,233
Heatr3,350,325
Srprb,376,298
Cdk17,408,266
Lrp8,399,275
Mta3,371,303
Ptpn23,406,268
Sun1,386,288
Man1a2,390,283
Trim59,416,257
Ckap2,426,247
Gm7324,436,237
Phldb1,399,274
Ift52,370,302
Nudcd1,404,268
Pus10,363,309
Wdr48,399,273
Eif2b4,334,338
Plekha3,382,290
Trappc3,388,284
Lrp12,385,287
Prkca,440,232
Comt,350,322
Lemd3,360,311
Lias,337,334
Siva1,402,269
Ocrl,428,243
Gphn,380,291
Plgrkt,372,299
Nt5c2,373,298
Nbea,401,270
Supt3,358,312
Pcmtd1,413,258
Prpf18,382,288
Gins4,368,302
Adk,356,314
Elmo2,382,288
Rimoc1,440,230
Atl3,416,254
Rragc,367,302
Sdad1,388,280
Cbr1,344,324
Gmnn,406,262
Prkag1,376,292
Fance,394,274
Dhfr,410,258
Rbm15b,380,288
Nsrp1,395,273
Akr1b1,394,273
Fbxw5,363,304
Zpr1,368,299
Ark2n,362,305
Pex5,389,278
Xrn1,411,256
Wdr35,420,246
Baz1a,429,237
Pold1,375,291
Armcx2,370,296
Hcfc2,393,273
Atf6b,332,333
Slc4a1ap,410,255
E2f1,380,285
Mapk14,373,292
Bet1l,374,291
Relch,391,273
Cstf1,377,287
Rpf1,398,266
Atg12,356,308
Vav2,399,265
Ostf1,340,324
Kbtbd11,367,297
Stmp1,334,329
Ppp2r5e,391,272
Garre1,392,271
Rpap3,402,262
Haus2,378,284
Prpf39,465,197
Slc20a1,418,244
Oat,424,238
Tsr1,429,232
BC005624,366,294
Myo18a,345,315
Ppp1r10,400,260
Impdh1,341,319
Arl6ip6,394,266
Pea15a,315,345
Specc1l,422,238
Gak,367,293
Mpg,358,302
Dctn5,338,322
Sft2d1rt,378,282
Ube3b,373,286
Ppih,373,286
Pelp1,396,263
Mief1,380,279
Knop1,422,237
Cat,348,310
Gnb4,406,252
Trerf1,456,202
Xlr,394,264
Dnajb9,364,293
Camk1,320,337
Cib1,300,357
Pwp2,346,311
Fam169a,333,324
Ptp4a1,369,288
Suclg2,405,251
Sncb,337,319
Nosip,348,308
Mrps22,331,325
Aktip,367,289
Pde5a,362,293
Abcc5,366,289
Supt20,417,238
Ppp1r14a,306,349
Tfrc,398,257
Exoc7,344,311
2300009A05Rik,348,307
Lonp2,343,312
Uspl1,385,270
S100a4,436,218
Cd2bp2,358,296
Slc4a7,434,220
Nfxl1,380,274
Atxn7l3,374,280
Bmt2,358,296
Bbip1,385,268
Cip2a,419,234
Top3b,386,267
Fam204a,354,300
Tafazzin,399,254
Lamtor5,358,296
Ftsj3,355,298
Fbrsl1,381,272
Slc35e4,341,311
Chsy1,388,264
Klhl7,372,280
Cnep1r1,373,279
Rcn3,398,254
Ccnf,391,261
Mdm4,410,241
Unc45a,338,313
Cry2,344,307
