gene,undiff_rep1,undiff_rep2,undiff_rep3,diff_rep1,diff_rep2,diff_rep3
Map1s,3201,2652,2606,2551,1965,2190
Arhgef7,2373,2041,1672,1709,2786,2802
Wdr46,3410,2750,2715,1070,1817,1624
Kcnq2,1801,1864,1697,3219,3194,2124
Trim33,1851,1850,2233,1914,2480,2011
Dnajc14,1789,2054,2045,2908,3274,2247
Usp39,3192,2034,1841,1971,2057,2568
Ccnl2,2464,2384,2436,2043,3004,3519
Tmem183a,3560,1987,2424,1597,1920,2499
Wdr33,2642,2902,2813,2629,2836,1623
Ttc39b,2603,2637,2450,2589,2791,2443
Srgap2,2890,1676,2184,2010,2285,2906
Nktr,2765,2573,3139,2746,2291,2634
Fsd1l,1885,1925,1537,2170,2777,2354
Gnpat,2131,2675,2159,2849,3439,2464
Snrpd1,2911,2544,2849,1585,1587,1274
Clpb,2017,2253,3069,2401,2637,2706
Arhgef28,2191,1878,1953,3226,2430,3231
Xiap,3022,3101,2734,1943,2332,1775
Abca3,1809,1369,2015,3057,3370,1894
Rapgef2,3201,2533,3190,2099,1735,3758
Akap1,2642,2783,2592,2346,1540,1642
Guk1,2338,2182,2043,2060,2620,2609
Fam169a,1884,1852,1779,2832,2406,2605
Gsk3a,2270,2998,2744,1839,2147,2750
Fat1,3193,3376,3770,2179,1904,1893
Maf1,2004,2663,1297,4997,4789,2701
Orc2,3969,2575,2311,1700,1707,1740
Dbf4,3520,2204,4010,1546,1506,1567
Cyhr1,2548,2056,2119,2316,2180,2670
Stat3,2158,2130,1946,2137,3047,1963
Npc2,1517,1775,1780,2227,2549,3130
Anapc5,2505,3115,2147,2640,2095,1973
Aldh2,1958,3377,1863,1872,2448,2310
Zmat3,2665,2360,2251,3316,2428,2657
Letmd1,2322,1662,2011,2108,2525,2063
Poc5,3728,3269,3704,1762,2359,1610
Brca1,3823,2927,2119,1287,1746,1221
Arpc3,2825,2404,2642,1967,1942,2316
Cmip,2268,2484,1895,2551,2600,2613
Ncs1,2763,2791,3546,1959,2079,1584
Pgm2,1624,1400,1195,2558,2982,3049
Vps50,3024,2647,2766,2214,1631,1747
Gm1140,2199,2811,3301,2077,1795,1625
Gm14692,2730,2745,2727,2839,3341,3028
Aatf,4097,3641,2255,2724,2436,2394
Ift122,1885,1096,1831,2181,2744,3929
Syngr1,1556,1388,1666,3178,2948,4034
Tmem167,2167,2167,3150,2453,1559,1773
Emc3,1923,2840,2529,2047,2254,2026
Fam60a,3312,2730,2951,1856,2044,2383
Rcn1,2330,2635,1868,2497,2313,2805
Nyap2,2312,1662,2188,2535,2123,2605
Pex13,2936,1986,2601,2096,2942,2248
Maged2,2183,1531,1305,3330,2521,4355
Wwp2,2020,2304,2146,2318,1894,2652
Uba3,2806,2119,2142,2667,2611,2912
Tmem94,1706,1571,1852,3007,2892,3015
Pdcl3,2563,3148,2582,1799,3008,2250
Poldip2,2641,1626,2570,2234,2457,2516
Pbk,3005,3938,2616,1830,1649,2159
Ube2v2,3250,2517,1759,1840,3206,2973
Tmco1,2618,1970,2795,2390,2822,2270
Blcap,2232,2315,1915,2815,3378,2998
Nr3c1,3246,2561,2979,1901,2089,2071
Rnf7,3039,3152,2800,1672,1810,2499
Gtf2h2,2806,2191,2296,2352,1758,2040
Nol4l,2731,3005,2088,3108,2001,2060
Camk1d,3213,1951,2728,3322,2799,1978
Golim4,2777,2631,1711,1985,2634,2336
Cdc42ep1,1888,2132,1248,2459,2502,3412
Rab5a,1887,2127,2872,2015,3120,2592
Fnip1,2159,2527,1954,2491,2328,2278
Pigs,1612,1715,1984,2604,3482,3087
Nab1,2214,2577,2590,2356,2290,2751
Tk1,3138,2682,4292,2022,1712,1808
1700017B05Rik,1232,1539,1466,2828,2328,2060
Fbxo31,2238,2142,2129,3482,3932,2494
Rsrc2,2791,2412,2879,2152,1932,2369
Rbm27,3004,2458,2867,1739,1875,1595
D8Ertd738e,2249,3022,2282,1804,1866,2323
Ckap2l,3685,2812,3422,2312,1801,1363
Ppp4r3a,2310,2863,1902,2171,2058,1964
Arih2,1900,1776,2784,2860,2643,2528
Tbca,2074,1950,2461,1921,1978,2158
Ddx19b,2465,2310,2433,2239,2674,2659
Dhx29,3414,2346,2488,2099,2284,2194
Sap18,3284,2549,2507,1512,1792,2052
Rad17,2453,2562,2805,2513,2736,3404
Adam12,2215,3292,2828,2165,2085,1656
Exoc3,2128,3060,2882,1866,1690,2408
Pdcd6,1994,2648,2561,2585,2721,2007
Hace1,2302,2053,2185,1993,2194,2219
Parl,2016,3003,2600,1742,2127,2214
Jund,1930,1689,1878,2552,2708,2677
Zbed4,2753,2651,2226,2625,2316,1931
Pelp1,2674,2229,3472,1699,2231,2233
Fam134c,2365,2720,1742,2337,2863,2169
Nudt4,2337,2924,3702,2007,1745,2197
Setd3,1851,2241,2089,2034,1728,2084
Slc24a2,739,637,696,4451,3709,4855
Ado,2648,2219,2105,2230,2652,2451
Rorb,1838,1363,1193,2990,3126,2446
Appl1,2205,2458,3172,2288,1954,2366
Fastk,2972,2066,3157,2362,2437,2137
Slc4a8,2261,2133,3047,2357,3284,2972
Sun1,2842,2376,2921,3355,1693,2119
Ube2w,2096,2461,2366,2353,2300,2739
Tsg101,2258,1914,1737,2617,2185,1650
Prr14l,2580,2119,2481,3762,2825,2921
Celf3,2226,2695,2216,2297,2449,2164
2017-09-05 00:00:00,1498,1692,2035,2995,3419,2804
Ptpn1,1900,2237,2310,2138,2810,2325
Atp2b3,1307,1808,1134,3526,4524,3224
Zc3h13,2394,2040,2018,2542,2275,1950
Ano10,1924,2043,2129,3053,2577,2352
Rhox2g,1947,1885,2511,2266,1839,2878
2900026A02Rik,2849,2122,1783,2898,2833,2971
Akr1b3,2629,1846,2987,1825,2264,1814
Eef1e1,2384,3128,2899,1512,1926,1956
Tmed9,3025,2285,2332,1614,2657,2018
Rab28,2909,1858,2140,2716,2264,2248
Ext1,2329,2902,2667,2415,2558,2161
Syt4,1062,1357,1811,3547,2753,3981
Higd1a,1566,1533,1959,2274,4182,2989
Gpcpd1,2554,1929,2555,2901,3173,2714
Dock4,2651,3144,2981,1848,1531,2012
Foxm1,3961,2956,2658,1242,1735,1289
Lypla1,1863,2212,2318,1917,2281,2001
Gpr22,1872,1282,1643,3604,3066,2404
Slc2a1,1285,1200,1201,4302,3839,3317
Akt2,2974,2449,2661,2363,2203,2389
Plp2,2490,2469,3482,1907,2368,1695
Fryl,2915,1655,3433,2860,2091,1584
Vps11,1893,1784,2013,3131,3837,2724
Ikbkg,1647,2172,1922,1612,2298,2439
Cnih1,1853,3602,1931,2395,1950,3027
Itm2c,1572,1504,1952,3168,3103,3541
Shtn1,2087,1652,2439,2058,1733,1843
Gtf2a1,2973,2700,2904,3152,1980,2043
Rrp15,3485,2467,2219,1697,1787,2776
Usp37,2770,2041,2672,2326,1973,1989
Pde4d,1867,2444,1989,2269,2459,3289
Wdr48,2297,2210,2421,2344,2335,1712
Vegfd,1848,1726,1982,2739,2506,2357
Pdk1,1588,948,866,3966,4018,3858
Uqcrh,2730,2477,2944,1762,2023,2323
Dmxl1,2559,2337,2331,2831,2622,2702
Mrpl49,2399,1838,2617,2238,2201,1821
Bcl9l,1523,2565,2123,3293,2664,3159
Atrn,1799,1615,1719,1995,2005,2611
Hnrnph2,1982,3063,2402,1935,1986,1934
2017-09-03 00:00:00,2202,2148,2334,2780,2923,2365
Get4,2566,2395,3347,2034,2079,2112
Slc30a1,1514,1824,1791,1987,2358,2901
Tmem151b,1501,1421,1443,2304,3476,2554
4833439L19Rik,3124,2287,2864,1557,2527,3103
Timeless,2370,3721,2677,1728,1888,1803
Gm4997,1966,2055,2192,2421,2123,1411
Tsr1,2802,3321,2874,916,1928,1804
Aak1,2032,1926,2535,2305,2238,2511
Fam192a,2193,2319,1883,2592,2085,2494
Pik3r3,1193,1267,1091,3119,3851,4646
Tbk1,3454,2000,2470,1831,1858,2058
D930015E06Rik,1670,2399,2100,2777,2595,2589
Pnpla8,1839,1230,2453,1790,2660,2270
Hexa,1804,1431,1335,2952,3083,3247
Vps54,2371,2192,2360,2529,1706,1131
Pnkd,1851,2203,1956,2671,2453,2080
Nt5c2,2063,2451,2245,2705,2060,2269
Ankib1,2869,1995,3074,2816,1707,2908
Pla2g6,2032,2119,1501,2242,3001,2323
Dmwd,2230,2317,2119,2572,2121,2065
Llph,2631,1950,2222,2010,2122,2008
Atxn1l,2176,2262,1638,2495,1989,2095
Eif1ad,2577,3328,2355,2257,1748,1961
Bivm,2474,2539,2191,3563,3489,2795
Naa10,2695,2383,2530,1667,2601,1681
Emc1,2349,2078,3168,2833,2384,2167
2410089E03Rik,2196,1839,1668,1878,2598,2037
Exoc4,1852,1993,2323,2696,1769,2415
Becn1,1950,2126,2358,2861,2630,2141
Tubb6,2539,3405,3094,1332,1721,1960
Acsl1,2131,2052,2278,1772,2937,3988
Pgls,1954,1846,2102,2409,2463,1811
Lrp5,1975,2720,2586,1872,1967,2536
Prdx4,2616,2884,2375,2549,1704,2366
Cthrc1,2362,1891,1952,3269,2064,2942
Zfp24,1763,2273,2036,2508,1831,1859
Lnpk,3274,2329,2221,2417,2482,2094
Rhox2h,2187,1589,2448,2021,3064,2070
Taf2,2404,2466,2228,1934,1611,1827
Trim24,2559,2341,2380,2646,2204,1930
Ankrd13c,2296,3162,2176,1920,2097,2334
Fxr2,2102,2382,2325,2662,1970,1807
Fndc3a,3388,2130,2850,1864,2537,2731
Vps39,1602,1859,1571,2732,3072,2829
C77080,1335,1489,1330,3060,3370,3705
Fbxo30,2672,2601,2675,2398,1990,2089
Hmbs,2039,2081,2719,1405,2118,2208
Ubald2,2429,2516,2634,2148,1710,2119
Asxl1,2701,2784,3210,1769,1631,2010
Hax1,3097,1376,1852,1991,2563,3512
Fam193a,1971,2910,2358,2040,2404,2044
Atp6v0b,2000,1907,2748,2044,2270,2149
Cxxc4,2022,2065,1461,3062,2821,2753
Idh1,1771,1701,1921,1857,3078,3183
Zdhhc3,1990,2323,2744,2300,2507,2007
Tspan31,2034,1832,2001,3461,2513,2331
Zfp652,2096,2127,2218,2335,2226,2172
Kdelr1,2165,2296,1726,2456,2491,2518
Fads6,2827,2162,2373,2106,2377,2345
Cdca3,3346,2240,2737,1858,1496,1798
Arpc1b,2341,1885,2328,2404,2295,1926
Gys1,1422,1108,1386,2698,3233,3423
St6galnac6,1944,2671,3288,2347,1711,1705
Lyar,2971,2518,3642,1477,1568,1356
Map9,2304,2862,3227,1957,1875,2227
Ppp1r12c,2132,2307,2749,2332,2429,2276
Atf6b,2485,2363,2648,2231,1644,2313
Glrx5,2184,3152,2905,1815,1599,2281
Senp5,3046,2127,2933,2768,2717,2677
Eef2k,3581,2268,2125,1736,1769,2372
Slc31a1,2042,2479,1696,1818,1919,2951
Bud31,2617,2736,1906,3012,2342,1768
Yipf4,2086,1789,2503,1590,1887,3071
Wdr35,3238,3951,2445,1263,1968,2089
Lrp12,2495,2515,2207,2367,2584,1983
Sec24b,2332,1806,2361,2076,1985,1829
Ints2,2264,2248,2727,2111,2039,2228
Oaz2,2005,2279,1841,1876,2567,2511
Mrpl17,2061,2527,2154,1580,2468,1782
Gigyf1,2501,2543,2043,1721,2058,1985
Tmem135,1654,2835,2161,2318,2199,2655
Cbarp,1868,1975,1652,2445,2731,3546
2810025M15Rik,2825,3901,3083,1974,1774,1445
Tmed8,2621,2396,2586,2286,2793,1998
Cnot10,2519,2208,2425,2239,1719,1651
Sbds,2895,3115,2097,2050,2054,1748
Vps29,1989,2040,1903,1525,1737,2293
Adipor2,2191,2299,1797,2683,2780,2211
Usp36,2321,2680,2023,1451,1821,1827
Gid4,2210,1807,2217,2602,2685,2504
Ssfa2,2264,1942,1784,2646,2539,2210
Gphn,2491,2012,2173,2038,2309,2626
Nmd3,1791,2732,2399,2445,1417,1901
Lnpep,2361,2796,2560,2535,2372,2436
Lrrfip2,1860,2438,2012,2001,2373,1845
Smad2,2881,3225,2359,2170,1667,1838
Cacna1h,1762,2907,2847,1864,1835,1677
Psma5,2075,2190,1880,2493,1701,2623
Abcb10,1496,1789,2147,2453,1776,2243
Kctd5,3171,2373,2141,2592,1639,1695
Bicd2,1582,1798,1695,2917,2709,3382
Max,2527,2413,1898,1777,1302,1762
Azi2,2136,2680,2371,2248,2200,2106
Sh2b3,1416,2033,1757,2457,1984,2334
Dnajc10,2131,2675,2113,2997,2120,2459
Sec24a,2869,2230,2886,1737,2003,1404
Ube2q1,2245,1971,1359,2068,1936,1857
Fam135a,2468,1606,2423,2359,1823,2428
Sh2b1,2236,1718,3535,1589,1367,2432
Zkscan1,1927,1762,1891,2325,3074,2182
Arl4a,1556,1675,1547,2829,2265,3881
Man2a1,2970,2673,2723,1183,1399,1675
Ext2,2877,2032,2377,2841,1971,2197
Fkbp9,2315,3111,3314,1860,3049,2163
Pak4,2598,2047,2160,2631,2201,2010
Med13l,1993,2108,1298,2550,1861,2202
Pmm2,2255,2350,2706,1854,1515,1589
Brwd3,2676,1735,2014,2478,2347,2228
Dvl3,1804,2794,2128,1651,2106,2542
Acp1,1923,2240,2165,1591,2435,1327
Unc50,2157,2734,1486,2889,1968,2317
Phactr2,1549,1357,1754,2982,2988,2538
Jmjd1c,3242,3177,1993,1954,2096,1649
Tmem176b,1207,2762,1929,2433,1983,2544
Nadk2,2096,1669,1790,3084,2494,2912
Tbx2,3686,3219,2746,1373,1442,1366
Cmpk1,1906,2266,1679,1924,2126,2120
Blzf1,2114,2612,3007,1758,1849,2139
Arpp19,2650,1930,2399,2214,2943,2288
Slc48a1,3014,2433,2373,2181,1906,2054
Leo1,2050,2744,3149,2103,1580,1988
Dennd4a,1321,1568,1903,2632,2692,2772
Mtmr6,2559,1422,2225,2140,2048,2691
Nme1,3634,2433,1827,2249,1730,1421
Wdr7,1844,1816,2376,2815,2161,2592
Lonp2,1290,2196,2228,2296,3252,2774
Ctdspl2,2998,2056,1882,2418,2064,2121
Phf8,2085,1750,1640,2475,2460,2505
Clip3,2539,2307,2200,1647,1970,2401
Abhd17b,2194,2354,2128,2110,2137,1866
Desi2,2102,2556,2875,2333,1910,2032
Dus1l,2328,2536,1985,2191,1723,1721
Acox1,2391,2210,1797,2512,3028,1865
Emg1,3301,2785,2830,2100,2219,1636
Hccs,1822,1934,2873,1372,1328,2240
Gabarap,1544,1887,1457,3145,2225,2350
Arhgef10l,2333,1940,1306,3692,3278,2417
Stoml2,2281,2445,2226,1757,1682,2239
Hsf1,1951,3231,3595,1875,1965,1822
Atp8b2,2180,1999,1873,3364,2135,2464
Mrpl38,2109,2430,1966,2032,2352,1587
Mob4,2222,1806,2610,2005,1800,1416
Faf2,1907,2072,2233,2805,2498,2704
Ddhd2,2083,1989,2780,1495,2308,2122
Minpp1,2103,1900,2006,1361,1982,3082
Tbc1d9,2149,1595,1784,1868,2328,3513
Yaf2,2146,2578,2845,2969,2244,1847
Braf,1952,2214,1958,1709,2568,1943
Tnik,1748,1595,1774,2301,3229,2514
Pcdhac2,2338,1475,1531,2694,3993,2945
Pi4k2a,2013,1603,1628,1838,2276,3536
Plxna3,1776,2070,1564,2172,2314,3508
Sart1,2756,2009,2220,1795,1614,2093
Trim8,2211,2514,1797,3000,2406,2495
Snx17,2643,1604,2036,1949,2273,2544
Pigu,2086,1997,1775,3066,1793,2061
Chd6,2648,2155,2294,2233,2956,2864
Dynlrb1,2715,2647,2881,2376,2248,2270
Foxd1,2260,2101,2127,2397,1804,1925
Kifc1,2617,2450,3675,1265,1568,1404
Papss1,2435,1604,2243,2482,1588,1760
Ccnd3,2443,2615,1489,2472,1917,1939
Slc35a4,2422,2400,2560,2550,1904,1922
Dpp3,1838,2202,1846,2030,2188,1794
Jade1,1685,2168,2814,2568,2065,1664
Tsfm,2671,2619,2268,2208,1594,1729
Csrp1,3198,2793,3636,1485,1368,1405
Ddx49,2800,2988,3080,2213,2027,1851
Rsl24d1,1904,1625,2182,1943,2532,1282
H2afx,3147,3032,2181,2320,1670,2009
Agfg2,1991,1987,2623,1723,1795,2138
Aen,2984,2737,2366,1990,1281,1440
Eif2a,2423,2119,2196,2017,2096,1814
Flywch1,1997,2267,2721,2306,1375,2054
Otud6b,2400,3052,2591,1868,1383,2014
Knstrn,1826,2754,2983,1245,1499,1692
Snx27,1993,1810,3275,1729,2286,1529
2017-03-08 00:00:00,1434,1956,2092,2112,2340,1829
Hsf2,2531,2294,2627,2723,2286,2306
Zfp512b,2161,2280,1917,1924,2640,2293
Rraga,2274,1940,1197,2740,1978,2881
Smg5,2867,2645,2746,2083,1779,1642
Shmt1,2472,3327,2763,1715,1311,1818
Hdac6,2685,2070,2756,1355,2754,1499
Slc25a46,1805,2862,1938,2011,2824,1532
Clip2,1940,1568,1553,2704,2529,2494
Zfp512,2126,1664,1797,2289,2395,3964
Nfya,1880,2583,2262,1821,2488,2148
1810013L24Rik,1760,2132,1495,2831,2258,2756
Prkci,2304,2854,1782,2044,1798,2197
Urm1,2526,3467,2775,1781,1406,1835
Atg4b,2435,2256,2050,2950,2352,2028
Smurf2,3050,2264,2459,1904,2311,2154
Lrp8,2086,2383,2014,2164,2030,1845
Fam126a,2026,2154,2092,1664,2567,1996
Nat10,1797,2441,2276,1503,1297,1334
Ap2s1,2174,2968,2063,2237,2559,1962
Fis1,1953,2928,2432,3444,2673,3035
Tbc1d20,1340,1979,2654,2361,2991,2261
Dicer1,2528,2302,2270,2091,1418,2043
Fam98a,2872,2362,2775,1545,1600,1820
2017-03-11 00:00:00,2393,2016,2386,1473,2003,1754
Dhx37,2291,2167,1885,1829,1842,2309
Fbxo8,1761,1909,1886,2243,1615,1604
Pqbp1,2572,2233,2137,1959,2096,2323
Rcn2,1638,1797,2027,2631,2079,2415
Polb,2048,1538,1872,2124,1783,2257
Fn1,2988,2365,2157,1937,2194,2417
Mrps17,2428,3280,2915,2673,1589,2145
Tbc1d13,2318,1452,1928,1679,2772,1710
Mrps14,1999,2002,2190,2669,1691,2050
Taf10,1972,2842,2678,2032,2111,2038
Mrpl18,2593,2115,3088,1671,2115,1334
Arpc5l,2326,1670,2411,1991,1709,2159
Myo9a,1690,2045,2403,2003,2440,1454
Csrnp3,1599,1442,1515,2174,1920,3184
Mllt10,2738,1952,1743,2438,2647,1920
Rnh1,2538,2815,1724,3053,2365,2562
Stam,1327,2312,1624,1987,3261,2619
Thra,1360,1825,1361,2264,2492,2683
Pja1,1573,2080,1833,2139,2601,2658
Micu1,2842,2212,2253,1962,2438,1348
Hspa14,2839,2986,2518,2020,1882,1858
Rfx7,2366,2002,1930,1945,2454,2110
Fuca1,1236,1896,1531,2074,3422,2215
Rbm22,1826,2826,3140,2048,1507,2025
Akt1s1,2130,1889,1762,1977,2948,2088
Scfd1,2200,2485,1955,2107,2028,2208
Skp2,2235,3466,2119,1357,1514,1725
Prpsap1,2463,2710,2908,1885,2151,1856
Ipo8,2889,2177,2983,2111,2036,1370
Slmap,2318,2128,1759,2044,1905,3005
Ano8,1431,1630,1868,3048,2240,2399
Tomm34,1471,2209,1682,1655,1622,1771
Rbm6,2218,2349,2477,2332,2268,1973
Mapk3,1766,1618,1714,2308,3027,2392
Exosc2,2601,3198,2746,1600,1357,1321
Tmem50a,1679,2327,1329,1852,2476,2140
Pcyt1a,2132,2195,2488,2146,1728,1604
Mfap3,2141,1452,1939,2264,2536,2396
Pmpcb,2065,2244,2615,2529,2212,2192
Ambra1,2061,2032,2056,2330,2037,2400
Syn1,1551,2008,1829,2016,2323,1706
Mad2l1,2602,2592,2570,1642,1114,985
Sobp,1773,1828,1887,3192,2567,2801
Usp38,1921,1970,2650,2002,1819,2440
Mtap,1932,2974,2758,1716,1944,1926
Cep85,2176,3153,2699,2171,1661,2354
Slain2,2947,2026,2306,1980,1641,1637
Arglu1,2408,1471,1820,1658,1680,1561
Fbxo28,2710,1927,2111,1723,1933,2748
Bex3,2157,2029,2844,2339,3189,2239
Cpox,2191,2425,2876,1681,1929,1943
Gpatch8,1668,2174,1904,1781,1932,1650
Zfhx3,1639,2009,2604,2468,1689,2935
Cnst,2739,3487,2691,2140,2447,1753
Exoc7,1973,1701,2154,1999,1947,2039
Sema4c,2050,1699,1515,2172,2746,2025
Cbx2,2317,2232,2301,2210,2531,1423
Akap9,2064,1499,2441,1266,1881,1891
Chn1,1798,2175,2742,2097,2569,2730
Prex1,1935,1714,1760,1843,3183,2729
Stk40,2157,1494,1827,2632,1893,1567
Prpf38b,2516,2015,2860,1817,1430,2248
Chn2,2315,2349,2596,2309,2040,2339
Fam188a,2491,2856,2838,1986,1611,1719
Phf13,1832,2668,1933,1780,2186,1973
Nbas,1963,2256,1848,2619,2002,2078
Parn,1667,1758,2074,2200,2111,1626
Cog4,2376,2221,2161,2296,2538,2639
Arhgef40,1593,2325,2736,1396,1412,2218
Ruvbl1,2373,3814,2184,1664,1803,2101
Ccnk,3332,1518,1653,2246,1851,1709
Ndufb5,2111,3044,2728,1808,1827,2437
Cfl2,1676,2396,2030,2622,1907,2138
Sik3,2083,2282,2047,1798,1597,2164
Asf1b,3650,2890,3433,1142,1454,1219
Atp5k,2497,2359,2009,1339,1598,1416
Med22,2734,2090,2449,1419,2151,1699
Tex261,2333,1758,2164,1208,1811,1779
Pou2f1,2111,3311,2455,1589,1546,1716
Parp8,2783,1899,1573,3511,2260,2764
Rbm34,2412,2733,2688,1986,1759,2332
Ccdc127,1868,2233,1651,1977,1786,1806
Aff1,1523,1198,1549,3252,1975,2505
Uhrf1bp1l,2406,2173,1936,1755,3154,1848
Senp3,2588,2500,2912,1565,1964,1958
Hadh,2304,2513,2512,1886,2227,1983
Aldh7a1,2061,1707,2048,2589,1744,2173
Slc45a4,1236,1709,1814,2821,1780,3235
Creb1,2221,1968,1953,2057,2157,2489
Atp10d,2650,2867,2520,1321,1127,1366
Rsph3b,1697,1581,2279,2195,2056,3013
Hif1an,1655,2349,2136,2214,2614,2166
Rfc5,2346,2687,3313,1795,1149,2393
Suv39h1,2389,1981,4159,1659,1950,1536
AW549877,1786,2279,1475,2679,3308,2151
Dnpep,1461,2872,2114,2480,2227,2558
Ube2g2,2380,2052,2243,1629,1810,1539
Tfam,2417,2963,2550,1505,2039,2045
Cep120,1808,1890,1487,1686,2223,2100
Phtf2,2034,2109,2545,1686,1774,1386
Stub1,1982,3237,2004,2699,1539,1510
Cdc5l,2777,2493,2499,1949,1916,1769
Spns1,1331,2812,2280,2520,2064,2192
Ss18,2388,2732,2958,1496,1199,1566
Tdrkh,1662,2743,2262,2287,1781,2164
Arhgap1,1677,1796,1929,2392,2654,2044
Cep192,3068,3481,2522,1890,1722,1591
Chuk,1999,3155,1732,1501,1896,1745
Nubp2,2484,2796,2193,2291,1801,1691
Upf3a,1964,2110,2112,2028,1856,1327
Prr13,2501,1687,1677,2115,2544,1773
Cnot8,2520,1843,2212,2202,2294,1666
Cnih4,2619,2437,2242,1724,1484,1668
Men1,1599,2280,2462,2502,2575,2200
Kifc5b,2205,2424,3825,1807,1293,1310
Ehbp1,2592,2575,1794,1886,1929,1687
Abhd16a,1322,1262,1416,2591,3391,3040
Brap,2213,3290,2520,1895,1702,2025
Ube2j1,2285,2554,2076,1983,1209,2023
Zfp326,2019,3447,2871,2024,1926,1799
Tmtc1,2715,2127,1607,1588,1408,1820
G2e3,2336,1992,2636,1686,1862,1750
Socs7,2200,1487,1960,2029,2014,2046
Tlk1,1862,2416,1523,2539,2185,2082
Rnf220,2519,1921,2210,2373,1558,1576
Cacul1,1761,2607,2820,2783,2488,2154
Pcif1,2503,2216,2084,1578,2284,1636
Spon1,2092,2007,2465,3571,2249,2162
Klhl2,2662,1838,3354,1148,2026,1930
Vps13a,2298,1929,2224,2113,2100,2318
Tgfbrap1,2446,2311,2087,1987,2469,1274
Wdr59,1177,2242,2183,2270,2581,2532
Mvd,1389,972,1556,4508,3497,3177
Srrm3,1742,1995,2531,2884,2074,2218
Ppil2,1984,1723,2094,2719,1739,2503
Tbc1d14,2441,3048,2229,1395,1685,1434
Fam163a,1810,2288,3070,2759,1785,1940
Cdk8,2100,2249,1700,1539,1491,2412
Ric3,2095,2064,1809,2600,2633,1946
Ltbp3,2860,2797,2267,2559,2047,1947
Mum1,2047,2249,2531,2133,1839,2237
Fcho2,1729,2599,1852,2277,2185,2222
Pex6,2370,1564,1895,2668,2625,1991
Atf7,1681,2127,2338,1836,2502,1780
Ubn2,3090,1784,2169,2321,1741,1997
Samhd1,2871,3031,2484,1309,1109,1333
Napg,1705,1741,2322,2585,2089,1876
Use1,2309,1996,2015,2133,1469,2766
Cog1,2748,2323,1726,2527,2611,2792
Sntb2,1533,1712,1771,1806,1705,2583
Mfsd14b,2721,1538,2892,2491,1935,1873
Pcf11,2147,2244,2217,2329,1872,2135
Ppp1r18,2652,2285,2258,1740,2327,1705
Psmb5,2121,2427,2112,1621,1828,1447
Soga3,1448,1674,1894,1759,1919,1823
St3gal2,2038,2218,1870,2194,2245,2787
Luc7l3,2803,2309,2198,1211,2882,1585
Kif18b,3959,3192,3143,1364,1786,1050
Rhob,2671,1713,2390,1897,1819,2574
Synm,2603,2547,2685,1922,1880,1906
Nkap,1985,2621,1954,2010,1974,2620
Sft2d2,1454,1453,1446,3712,2469,2642
Umps,2722,2790,2043,1402,1183,1359
Pgrmc2,1694,2253,2407,2251,3253,2789
Arhgef1,2154,2547,2169,2027,1693,2157
Mepce,1391,2401,1798,2300,1837,1657
Rpl36a,2312,2242,1851,1996,2107,1852
Mrpl37,2128,1655,2491,1803,2379,1827
Pip5k1c,3606,2324,2187,2237,1711,1330
Crocc,2091,1481,2108,2605,3026,1304
Sh3pxd2b,1511,1712,1723,1679,2695,2859
Vmp1,2280,1386,2459,1785,1789,1575
Trim59,2003,3306,2645,1700,1235,2125
Dnajc9,2411,3864,1643,1881,1491,1431
Rtf1,1624,2518,2921,2227,2141,2084
Sh3bgrl3,1837,1247,1144,2778,2079,2303
Stra6,1955,1702,2319,2474,2532,2713
Setdb1,1876,2780,2406,2055,1885,2139
Tmem108,1926,2240,1717,2154,2102,2267
Pin1,2906,2211,2262,1989,1789,1512
Cdc73,2434,2822,1948,1589,1679,1901
Psmf1,2203,2394,2221,2307,1368,2711
Ndufa5,2022,2655,2614,1441,2456,1771
Cdc20,2516,2709,2257,1157,1364,1932
Abhd13,2068,2078,1485,2077,2019,1630
Iws1,2629,2006,2825,2309,1818,2311
Ap1s2,2168,2661,2723,1023,1437,2083
Rnf111,1633,1815,1599,2560,2396,2461
Celsr3,2018,2070,1986,2086,2220,2975
Yipf3,1398,1701,2062,2461,2513,2452
Mrps30,2492,2179,2259,2789,2876,2068
Slc39a9,1962,2036,2081,1976,1996,1923
Gcsh,2984,2756,2343,1003,1375,1252
Ppp2r2d,3132,1813,1377,2402,1956,1660
Rbmx,2616,2968,2656,1728,1501,2387
Fjx1,2767,2502,2113,1620,1641,2047
Atg2b,1732,1893,2942,2279,1413,2078
Pitpnm2,2155,2099,2296,1354,2412,1603
Gna12,1910,1539,1902,1979,2381,2237
Pofut2,2596,1804,1739,1625,2256,2374
Lrpap1,2294,1828,1395,2278,2265,2289
Cdc25b,3459,1997,2099,1570,2228,2611
Gtf2f1,2465,2428,3426,1705,2550,1957
Crtap,2123,2146,2077,2209,1848,2024
Slc35c2,2134,1607,1267,1980,2243,2210
Galk1,1907,2878,2309,2006,2346,2347
Fbxo45,2152,2176,2715,1990,1389,1864
Synrg,1654,2166,1745,1523,1743,2479
Lmf2,2718,2367,2341,2418,1907,2304
Jag2,1783,2145,2183,2625,1856,1554
Pfdn6,2651,2782,2127,1624,2021,1254
Pfkfb3,1361,2293,1802,2624,2255,2098
Mcm10,3697,3057,2309,1147,931,950
Gpsm1,1537,1619,1991,1704,2127,2599
Slc35a2,1990,1922,2062,2100,3050,2689
